やる,6950,8337,5420,動詞,非自立可能,*,*,文語四段-ラ行,連体形-一般,ヤル,遣る,やる,ヤル,ヤル,和,やる,ヤル,ヤル,ヤル,*,*,*,*,*,*,0,C4,*
やる,6920,8305,5867,動詞,非自立可能,*,*,文語四段-ラ行,終止形-一般,ヤル,遣る,やる,ヤル,ヤル,和,やる,ヤル,ヤル,ヤル,*,*,*,*,*,*,0,C4,*
やつ,7039,8430,11072,動詞,非自立可能,*,*,文語四段-ラ行,連用形-促音便,ヤル,遣る,やつ,ヤッ,ヤッ,和,やる,ヤル,ヤル,ヤル,*,*,*,*,*,*,0,C4,*
やれ,6753,8130,6645,動詞,非自立可能,*,*,文語四段-ラ行,命令形,ヤル,遣る,やれ,ヤレ,ヤレ,和,やる,ヤル,ヤル,ヤル,*,*,*,*,*,*,0,C4,*
やれ,6783,8162,8198,動詞,非自立可能,*,*,文語四段-ラ行,已然形-一般,ヤル,遣る,やれ,ヤレ,ヤレ,和,やる,ヤル,ヤル,ヤル,*,*,*,*,*,*,0,C4,*
やら,841,848,12012,助動詞,*,*,*,文語四段-ラ行,未然形-一般,ヤル,やる,やら,ヤラ,ヤラ,和,やる,ヤル,ヤル,ヤル,*,*,*,*,*,*,*,*,*
やり,844,851,11143,助動詞,*,*,*,文語四段-ラ行,連用形-一般,ヤル,やる,やり,ヤリ,ヤリ,和,やる,ヤル,ヤル,ヤル,*,*,*,*,*,*,*,*,*
やる,842,849,11293,助動詞,*,*,*,文語四段-ラ行,終止形-一般,ヤル,やる,やる,ヤル,ヤル,和,やる,ヤル,ヤル,ヤル,*,*,*,*,*,*,*,*,*
やる,843,850,10728,助動詞,*,*,*,文語四段-ラ行,連体形-一般,ヤル,やる,やる,ヤル,ヤル,和,やる,ヤル,ヤル,ヤル,*,*,*,*,*,*,*,*,*
やつ,845,852,12966,助動詞,*,*,*,文語四段-ラ行,連用形-促音便,ヤル,やる,やつ,ヤッ,ヤッ,和,やる,ヤル,ヤル,ヤル,*,*,*,*,*,*,*,*,*
やれ,838,845,12083,助動詞,*,*,*,文語四段-ラ行,命令形,ヤル,やる,やれ,ヤレ,ヤレ,和,やる,ヤル,ヤル,ヤル,*,*,*,*,*,*,*,*,*
